1. MAÇ: Meksika 2 - 0 Güney Afrika (11 Haziran 2026)
🇲🇽 Meksika İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Julián Quiñones	1 (9')	1	0	0	İlk 11	66'	66 dk
Raúl Jiménez	1 (67')	0	0	0	İlk 11	76'	76 dk
Érik Lira	0	1	0	0	İlk 11	76'	76 dk
Brian Gutiérrez	0	0	1 (23')	0	İlk 11	66'	66 dk
César Montes	0	0	0	1 (90+2')	İlk 11	90+2'	92 dk
Raúl Rangel (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Israel Reyes	0	0	0	0	İlk 11	Maç Sonu	90 dk
Johan Vásquez	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jesús Gallardo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Roberto Alvarado	0	0	0	0	İlk 11	Maç Sonu	90 dk
Álvaro Fidalgo	0	0	0	0	İlk 11	66'	66 dk
Gilberto Mora	0	0	0	0	66'	Sonradan	24 dk
Luis Chávez	0	0	0	0	66'	Sonradan	24 dk
Edson Álvarez	0	0	0	0	76'	Sonradan	14 dk
Armando González	0	0	0	0	76'	Sonradan	14 dk
Alexis Vega	0	0	0	0	79'	Sonradan	11 dk
🇿🇦 Güney Afrika İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Teboho Mokoena	0	0	1 (41')	0	İlk 11	Maç Sonu	90 dk
Siphephelo Sithole	0	0	0	1 (49')	İlk 11	49'	49 dk
Themba Zwane	0	0	0	1 (84')	61'	84'	23 dk
Ronwen Williams (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Khuliso Mudau	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ime Okon	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nkosinathi Sibisi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Mbekezeli Mbokazi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Aubrey Modiba	0	0	0	0	İlk 11	77'	77 dk
Jayden Adams	0	0	0	0	İlk 11	61'	61 dk
Iqraam Rayners	0	0	0	0	İlk 11	76'	76 dk
Lyle Foster	0	0	0	0	İlk 11	56'	56 dk
Thalente Mbatha	0	0	0	0	56'	Sonradan	34 dk
Evidence Makgopa	0	0	0	0	76'	Sonradan	14 dk
Oswin Appollis	0	0	0	0	77'	Sonradan	13 dk

2. MAÇ: Güney Kore 2 - 1 Çekya (12 Haziran 2026)
🇰🇷 Güney Kore İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Hwang In-beom	1 (67')	0	0	0	İlk 11	84'	84 dk
Oh Hyeon-gyu	1 (80')	0	0	0	69'	Sonradan	21 dk
Son Heung-min	0	1	0	0	İlk 11	69'	69 dk
Lee Kang-in	0	1	0	0	İlk 11	Maç Sonu	90 dk
Lee Gi-hyuk	0	0	1 (90+6')	0	İlk 11	Maç Sonu	90 dk
Kim Seung-Gyu (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Kim Min-jae	0	0	0	0	İlk 11	Maç Sonu	90 dk
