3. MAÇ: Çekya 1 - 1 Güney Afrika (18 Haziran 2026)							
🇨🇿 Çekya İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Adam Hložek	1 (41')	0	0	0	İlk 11	78'	78 dk
Pavel Šulc	0	1	0	0	İlk 11	65'	65 dk
Tomáš Souček	0	0	1 (33')	0	İlk 11	Maç Sonu	90 dk
Matěj Kovář (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Robin Hranáč	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ladislav Krejčí	0	0	0	0	İlk 11	Maç Sonu	90 dk
Vladimír Coufal	0	0	0	0	İlk 11	83'	83 dk
Lukáš Provod	0	0	0	0	İlk 11	65'	65 dk
Jaroslav Zelený	0	0	0	0	İlk 11	Maç Sonu	90 dk
Patrik Schick	0	0	0	0	İlk 11	78'	78 dk
Mojmír Chytil	0	0	0	0	65'	Sonradan	25 dk
Václav Černý	0	0	0	0	65'	Sonradan	25 dk
Tomáš Chorý	0	0	0	0	78'	Sonradan	12 dk
Alexandr Sojka	0	0	0	0	78'	Sonradan	12 dk
David Douděra	0	0	0	0	83'	Sonradan	7 dk
🇿🇦 Güney Afrika İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Evidence Makgopa	1 (72')	0	0	0	59'	Sonradan	31 dk
Aubrey Modiba	0	1	0	0	İlk 11	Maç Sonu	90 dk
Teboho Mokoena	0	0	1 (81')	0	İlk 11	Maç Sonu	90 dk
Ronwen Williams (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Khuliso Mudau	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ime Okon	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nkosinathi Sibisi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Thalente Mbatha	0	0	0	0	İlk 11	70'	70 dk
Luke Le Roux	0	0	0	0	İlk 11	59'	59 dk
Oswin Appollis	0	0	0	0	İlk 11	82'	82 dk
Iqraam Rayners	0	0	0	0	İlk 11	59'	59 dk
Lyle Foster	0	0	0	0	59'	Sonradan	31 dk
Elias Mokwana	0	0	0	0	70'	Sonradan	20 dk
Jayden Adams	0	0	0	0	82'	Sonradan	8 dk
							
4. MAÇ: Meksika 1 - 0 Güney Kore (18 Haziran 2026)							
🇲🇽 Meksika İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Santiago Giménez	1 (54')	0	0	0	İlk 11	81'	81 dk
Roberto Alvarado	0	1	0	0	İlk 11	Maç Sonu	90 dk
Edson Álvarez	0	0	1 (42')	0	İlk 11	Maç Sonu	90 dk
Raúl Rangel (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Israel Reyes	0	0	0	0	İlk 11	Maç Sonu	90 dk
Johan Vásquez	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jesús Gallardo	0	0	0	0	İlk 11	73'	73 dk
Jorge Sánchez	0	0	0	0	İlk 11	Maç Sonu	90 dk
Luis Romo	0	0	0	0	İlk 11	65'	65 dk
Orbelín Pineda	0	0	0	0	İlk 11	65'	65 dk
Julián Quiñones	0	0	0	0	İlk 11	81'	81 dk
Érik Lira	0	0	0	0	65'	Sonradan	25 dk
César Huerta	0	0	0	0	65'	Sonradan	25 dk
Mateo Chávez	0	0	0	0	73'	Sonradan	17 dk
Raúl Jiménez	0	0	0	0	81'	Sonradan	9 dk
Alexis Vega	0	0	0	0	81'	Sonradan	9 dk
🇰🇷 Güney Kore İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Kim Min-jae	0	0	1 (61')	0	İlk 11	Maç Sonu	90 dk
Kim Seung-Gyu (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lee Han-beom	0	0	0	0	İlk 11	Maç Sonu	90 dk
Seol Young-woo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Kim Jin-su	0	0	0	0	İlk 11	76'	76 dk
Hwang In-beom	0	0	0	0	İlk 11	Maç Sonu	90 dk
Paik Seung-ho	0	0	0	0	İlk 11	68'	68 dk
Lee Kang-in	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lee Jae-sung	0	0	0	0	İlk 11	58'	58 dk
Son Heung-min	0	0	0	0	İlk 11	Maç Sonu	90 dk
Hwang Hee-chan	0	0	0	0	İlk 11	68'	68 dk
Hong Hyun-seok	0	0	0	0	58'	Sonradan	32 dk
Oh Hyeon-gyu	0	0	0	0	68'	Sonradan	22 dk
Jeong Woo-yeong	0	0	0	0	68'	Sonradan	22 dk
Eom Ji-sung	0	0	0	0	76'	Sonradan	14 dk
							
							
3. MAÇ: İsviçre 4 - 1 Bosna-Hersek (18 Haziran 2026)							
🇨🇭 İsviçre İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Dereck Kutesa	2 (14', 52')	0	0	0	İlk 11	73'	73 dk
Zeki Amdouni	1 (38')	1	0	0	İlk 11	65'	65 dk
Granit Xhaka	1 (81')	1	0	0	İlk 11	Maç Sonu	90 dk
Ruben Vargas	0	1	0	0	İlk 11	65'	65 dk
Manuel Akanji	0	0	1 (44')	0	İlk 11	Maç Sonu	90 dk
Yann Sommer (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nico Elvedi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ricardo Rodríguez	0	0	0	0	İlk 11	79'	79 dk
Silvan Widmer	0	0	0	0	İlk 11	Maç Sonu	90 dk
Remo Freuler	0	0	0	0	İlk 11	Maç Sonu	90 dk
Denis Zakaria	0	0	0	0	İlk 11	73'	73 dk
Dan Ndoye	0	0	0	0	65'	Sonradan	25 dk
Breel Embolo	0	0	0	0	65'	Sonradan	25 dk
Michel Aebischer	0	0	0	0	73'	Sonradan	17 dk
Noah Okafor	0	0	0	0	73'	Sonradan	17 dk
Ulisses Garcia	0	0	0	0	79'	Sonradan	11 dk
🇧🇦 Bosna-Hersek İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Ermin Mahmić	1 (69')	0	0	0	İlk 11	Maç Sonu	90 dk
Ermedin Demirović	0	1	0	0	İlk 11	76'	76 dk
Sead Kolašinac	0	0	1 (22')	0	İlk 11	Maç Sonu	90 dk
Nikola Vasilj (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Anel Ahmedhodžić	0	0	0	0	İlk 11	Maç Sonu	90 dk
Dennis Hadžikadunić	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jusuf Gazibegović	0	0	0	0	İlk 11	Maç Sonu	90 dk
Amar Dedić	0	0	0	0	İlk 11	Maç Sonu	90 dk
Rade Krunić	0	0	0	0	İlk 11	58'	58 dk
Benjamin Tahirović	0	0	0	0	İlk 11	58'	58 dk
Haris Hajradinović	0	0	0	0	İlk 11	Maç Sonu	90 dk
Denis Huseinbašić	0	0	0	0	58'	Sonradan	32 dk
Armin Gigović	0	0	0	0	58'	Sonradan	32 dk
Smail Prevljak	0	0	0	0	76'	Sonradan	14 dk
							
4. MAÇ: Kanada 6 - 0 Katar (18 Haziran 2026)							
🇨🇦 Kanada İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Jonathan David	3 (12',44',71')	1	0	0	İlk 11	75'	75 dk
Cyle Larin	1 (28')	2	0	0	İlk 11	62'	62 dk
Alphonso Davies	1 (55')	1	0	0	İlk 11	Maç Sonu	90 dk
Jacob Shaffelburg	1 (83')	0	0	0	62'	Sonradan	28 dk
Ismaël Koné	0	1	1 (37')	0	İlk 11	Maç Sonu	90 dk
Stephen Eustáquio	0	1	0	0	İlk 11	75'	75 dk
Dayne St. Clair (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Alistair Johnston	0	0	0	0	İlk 11	Maç Sonu	90 dk
Kamal Miller	0	0	0	0	İlk 11	80'	80 dk
Moïse Bombito	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tajon Buchanan	0	0	0	0	İlk 11	Maç Sonu	90 dk
Samuel Piette	0	0	0	0	75'	Sonradan	15 dk
Theo Bair	0	0	0	0	75'	Sonradan	15 dk
Derek Cornelius	0	0	0	0	80'	Sonradan	10 dk
QA Katar İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Boualem Khoukhi	0	0	1 (19')	0	İlk 11	Maç Sonu	90 dk
Assim Madibo	0	0	1 (60')	0	İlk 11	68'	68 dk
Meshaal Barsham (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tarek Salman	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lucas Mendes	0	0	0	0	İlk 11	Maç Sonu	90 dk
Homam Ahmed	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ahmed Fathy	0	0	0	0	İlk 11	Maç Sonu	90 dk
Mostafa Meshaal	0	0	0	0	İlk 11	46'	46 dk
Yusuf Abdurisag	0	0	0	0	İlk 11	46'	46 dk
Akram Afif	0	0	0	0	İlk 11	Maç Sonu	90 dk
Almoez Ali	0	0	0	0	İlk 11	78'	78 dk
Mohammed Waad	0	0	0	0	46'	Sonradan	44 dk
Hassan Al-Haydos	0	0	0	0	46'	Sonradan	44 dk
