5. MAÇ: Meksika 3 - 0 Çekya (24 Haziran 2026)							
🇲🇽 Meksika İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Santiago Giménez	2 (18', 45+1')	0	0	0	İlk 11	74'	74 dk
Roberto Alvarado	1 (79')	1	0	0	İlk 11	Maç Sonu	90 dk
Luis Romo	0	1	0	0	İlk 11	Maç Sonu	90 dk
César Montes	0	0	1 (31')	0	İlk 11	Maç Sonu	90 dk
Raúl Rangel (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Israel Reyes	0	0	0	0	İlk 11	Maç Sonu	90 dk
Johan Vásquez	0	0	0	0	İlk 11	82'	82 dk
Jorge Sánchez	0	0	0	0	İlk 11	Maç Sonu	90 dk
Edson Álvarez	0	0	0	0	İlk 11	63'	63 dk
Julián Quiñones	0	0	0	0	İlk 11	63'	63 dk
Orbelín Pineda	0	0	0	0	63'	Sonradan	27 dk
César Huerta	0	0	0	0	63'	Sonradan	27 dk
Raúl Jiménez	0	0	0	0	74'	Sonradan	16 dk
Jesús Gallardo	0	0	0	0	82'	Sonradan	8 dk
🇨🇿 Çekya İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Tomáš Souček	0	0	1 (55')	0	İlk 11	Maç Sonu	90 dk
Matěj Kovář (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Štěpán Chaloupek	0	0	0	0	İlk 11	46'	46 dk
Robin Hranáč	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ladislav Krejčí	0	0	0	0	İlk 11	Maç Sonu	90 dk
Vladimír Coufal	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jaroslav Zelený	0	0	0	0	İlk 11	71'	71 dk
Alexandr Sojka	0	0	0	0	İlk 11	60'	60 dk
Lukáš Provod	0	0	0	0	İlk 11	Maç Sonu	90 dk
Adam Hložek	0	0	0	0	İlk 11	60'	60 dk
Patrik Schick	0	0	0	0	İlk 11	71'	71 dk
Martin Vitík	0	0	0	0	46'	Sonradan	44 dk
Pavel Šulc	0	0	0	0	60'	Sonradan	30 dk
Tomáš Chorý	0	0	0	0	60'	Sonradan	30 dk
David Douděra	0	0	0	0	71'	Sonradan	19 dk
Mojmír Chytil	0	0	0	0	71'	Sonradan	19 dk
							
6. MAÇ: Güney Afrika 1 - 0 Güney Kore (24 Haziran 2026)							
🇿🇦 Güney Afrika İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Lyle Foster	1 (34')	0	0	0	İlk 11	80'	80 dk
Teboho Mokoena	0	1	0	0	İlk 11	Maç Sonu	90 dk
Aubrey Modiba	0	0	1 (44')	0	İlk 11	Maç Sonu	90 dk
Ronwen Williams (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Khuliso Mudau	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ime Okon	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nkosinathi Sibisi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Thalente Mbatha	0	0	0	0	İlk 11	73'	73 dk
Oswin Appollis	0	0	0	0	İlk 11	62'	62 dk
Evidence Makgopa	0	0	0	0	İlk 11	62'	62 dk
Elias Mokwana	0	0	0	0	62'	Sonradan	28 dk
Jayden Adams	0	0	0	0	62'	Sonradan	28 dk
Luke Le Roux	0	0	0	0	73'	Sonradan	17 dk
Mbekezeli Mbokazi	0	0	0	0	80'	Sonradan	10 dk
🇰🇷 Güney Kore İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Paik Seung-ho	0	0	1 (19')	0	İlk 11	65'	65 dk
Kim Seung-Gyu (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Kim Min-jae	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lee Han-beom	0	0	0	0	İlk 11	Maç Sonu	90 dk
Seol Young-woo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Kim Jin-su	0	0	0	0	İlk 11	Maç Sonu	90 dk
Hwang In-beom	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lee Kang-in	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lee Jae-sung	0	0	0	0	İlk 11	55'	55 dk
Son Heung-min	0	0	0	0	İlk 11	Maç Sonu	90 dk
Hwang Hee-chan	0	0	0	0	İlk 11	55'	55 dk
Hong Hyun-seok	0	0	0	0	55'	Sonradan	35 dk
Oh Hyeon-gyu	0	0	0	0	55'	Sonradan	35 dk
Jeong Woo-yeong	0	0	0	0	65'	Sonradan	25 dk
							
							
5. MAÇ: İsviçre 2 - 1 Kanada (24 Haziran 2026)							
🇨🇭 İsviçre İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Ruben Vargas	1 (31')	0	0	0	İlk 11	79'	79 dk
Dereck Kutesa	1 (68')	0	0	0	İlk 11	70'	70 dk
Zeki Amdouni	0	1	0	0	İlk 11	Maç Sonu	90 dk
Granit Xhaka	0	1	1 (45')	0	İlk 11	Maç Sonu	90 dk
Yann Sommer (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Manuel Akanji	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nico Elvedi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ricardo Rodríguez	0	0	0	0	İlk 11	Maç Sonu	90 dk
Silvan Widmer	0	0	0	0	İlk 11	Maç Sonu	90 dk
Remo Freuler	0	0	0	0	İlk 11	62'	62 dk
Denis Zakaria	0	0	0	0	İlk 11	62'	62 dk
Michel Aebischer	0	0	0	0	62'	Sonradan	28 dk
Vincent Sierro	0	0	0	0	62'	Sonradan	28 dk
Dan Ndoye	0	0	0	0	70'	Sonradan	20 dk
Noah Okafor	0	0	0	0	79'	Sonradan	11 dk
🇨🇦 Kanada İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Promise David	1 (54')	0	0	0	60'	Sonradan	30 dk
Jacob Shaffelburg	0	1	0	0	İlk 11	75'	75 dk
Ismaël Koné	0	0	1 (24')	0	İlk 11	Maç Sonu	90 dk
Kamal Miller	0	0	1 (88')	0	İlk 11	Maç Sonu	90 dk
Dayne St. Clair (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Alistair Johnston	0	0	0	0	İlk 11	Maç Sonu	90 dk
Moïse Bombito	0	0	0	0	İlk 11	Maç Sonu	90 dk
Alphonso Davies	0	0	0	0	İlk 11	Maç Sonu	90 dk
Stephen Eustáquio	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tajon Buchanan	0	0	0	0	İlk 11	60'	60 dk
Jonathan David	0	0	0	0	İlk 11	Maç Sonu	90 dk
Cyle Larin	0	0	0	0	60'	Sonradan	30 dk
Liam Millar	0	0	0	0	60'	Sonradan	30 dk
Theo Bair	0	0	0	0	75'	Sonradan	15 dk
							
6. MAÇ: Bosna-Hersek 3 - 1 Katar (24 Haziran 2026)							
🇧🇦 Bosna-Hersek İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Dženan Alajbegović	1 (19')	0	0	0	İlk 11	72'	72 dk
Ermin Mahmić	1 (82')	0	0	0	İlk 11	Maç Sonu	90 dk
Ermedin Demirović	0	1	0	0	İlk 11	Maç Sonu	90 dk
Haris Hajradinović	0	1	0	0	İlk 11	80'	80 dk
Dennis Hadžikadunić	0	0	1 (64')	0	İlk 11	Maç Sonu	90 dk
Nikola Vasilj (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Sead Kolašinac	0	0	0	0	İlk 11	Maç Sonu	90 dk
Anel Ahmedhodžić	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jusuf Gazibegović	0	0	0	0	İlk 11	Maç Sonu	90 dk
Amar Dedić	0	0	0	0	İlk 11	Maç Sonu	90 dk
Denis Huseinbašić	0	0	0	0	İlk 11	61'	61 dk
Armin Gigović	0	0	0	0	61'	Sonradan	29 dk
Benjamin Tahirović	0	0	0	0	72'	Sonradan	18 dk
Rade Krunić	0	0	0	0	80'	Sonradan	10 dk
Not: Homam Ahmed 47. dakikada kendi kalesine gol atmıştır.							
QA Katar İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Hassan Al-Haydos	1 (60')	0	0	0	46'	Sonradan	44 dk
Akram Afif	0	1	0	0	İlk 11	Maç Sonu	90 dk
Ahmed Fathy	0	0	1 (75')	0	İlk 11	Maç Sonu	90 dk
Meshaal Barsham (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tarek Salman	0	0	0	0	İlk 11	Maç Sonu	90 dk
Boualem Khoukhi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lucas Mendes	0	0	0	0	İlk 11	Maç Sonu	90 dk
Homam Ahmed	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jassem Gaber	0	0	0	0	İlk 11	46'	46 dk
Mohammed Waad	0	0	0	0	İlk 11	Maç Sonu	90 dk
Almoez Ali	0	0	0	0	İlk 11	Maç Sonu	90 dk
Assim Madibo	0	0	0	0	46'	Sonradan	44 dk
Yusuf Abdurisag	0	0	0	0	46'	Sonradan	44 dk
							
							
5. MAÇ: İskoçya 0 - 3 Brezilya (24 Haziran 2026)							
🇧🇷 Brezilya İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
